"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.37631010389194e-06,62,1089,2.17429708338799,"GO:0006259 Dna metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006259"," DNASE1L1  RTF2  TOP2B  TINF2  DICER1  GINS1  NBN  DNASE2  GTF2H3  PMS2  CYREN  XRCC3  POLN  APTX  SMARCAL1  RADX  UVSSA  PRIMPOL  SPIDR  WRN  FAM111A  BRCC3  TRRAP  XRCC2  ZSWIM7  RAD21L1  JADE2  RNF126  GLI2  FMR1  GLI1  SMUG1  PRMT1  CHTF18  WRAP53  HSPD1  CUL4B  PPP1CA  RAD23A  USP7  PELI1  MAP2K4  CDC6  POLRMT  DNAJC2  RBBP6  IGF1R  NFIC  SMARCAD1  TK2  USP47  SPHK1  CHEK2  TNFSF12  KDM1A  WIZ  KDM4D  SMARCD2  KAT2A  ENY2  TAF9  ATXN3"
9.82262275875133e-08,127,2764,1.75477224174764,"GO:0007399 Nervous system development ","https://amigo.geneontology.org/amigo/term/GO:0007399"," HSPA5  SEC16A  ERBB3  FBXW11  FMR1  CDK16  SPG11  UNC119  MDGA1  PLPPR4  ACSL3  PALLD  ATXN10  ARHGEF9  MEIS2  MEIS1  TACC1  GSN  PAK1  NRG1  CLSTN1  SEZ6L2  RELN  LPAR1  DMD  LAMB1  MACF1  KDM1A  POMT2  JADE2  CC2D2A  RASGRF1  NDST1  GLI2  TOP2B  SLC1A3  PSEN1  MEF2C  PCDHGA2  WDR47  POMGNT1  AURKA  AARS1  HDAC6  PRMT5  VRK1  IFT52  ADNP  CSK  NBN  NDRG1  NEFM  SF3A2  KAT2A  GLI1  RAB35  TMEM30A  UBE3A  CCDC88A  STK25  ATF2  NFE2L2  MTR  TGIF2  PLS1  ACAP3  DHX30  KRAS  KIDINS220  DBNL  DAB2IP  CDK5RAP2  IGF1R  GPR161  GMPPA  ANK2  CAMK2G  BRAF  CUL4B  NDUFS2  NCSTN  HIPK1  PTPN13  TRAPPC9  RGS14  ARL13B  ZEB2  ALCAM  PITPNA  SPHK1  DEAF1  ATP6AP2  TRAPPC6B  MED12  NRBP2  THBS2  LAMA2  XRCC2  MTOR  BRD2  BAG6  SALL1  TEAD3  FUZ  TYMP  EIF2B3  MACROH2A2  SETD1A  PRMT1  THOC6  NARS1  DEGS1  UGP2  DNM2  DICER1  STIL  BMAL1  AHI1  SCARB2  PDLIM5  ELAPOR2  CDK5RAP3  MTCH1  ATXN3  PAFAH1B3  P2RX5  SH3GL1"
4.16366264110828e-09,153,3331,1.75417077668654,"GO:0043412 Macromolecule modification ","https://amigo.geneontology.org/amigo/term/GO:0043412"," POMT2  ATXN3  RNF126  ITCH  POMGNT1  DTX2  PPIL2  TRMU  NDFIP2  DPH1  TRIM2  ELP4  UBE3A  ALG5  PDZRN3  RBBP6  STAMBP  MINDY2  ANAPC13  THUMPD3  MTO1  SAE1  UHRF2  CUL4B  GALNT10  DUS2  USP47  RNF34  GMPPB  MSL2  SHARPIN  USP7  PELI1  WWP2  DZIP3  CDK11A  ZDHHC6  AGA  TRAF3IP2  FBXW11  FBLN1  ERC1  AURKA  HDAC6  PRMT5  VRK1  NBN  CCNY  CDK5RAP3  KAT2A  TNS2  CCDC88A  STK25  ATF2  NFE2L2  GTDC1  PRMT1  ATG4D  PRMT7  GLUL  GPNMB  DAB2IP  MAP3K12  WARS1  IGF1R  ULK3  TOM1L1  USP21  GOLGA7  PAK1  NRG1  BRAF  HIPK1  PTPN13  NAA15  ADAM9  DUS1L  GPS1  DPAGT1  NAA16  SPHK1  CHEK2  BRCC3  P4HB  CDC42BPB  MTOR  BAG6  DDX3X  NFS1  KDM1A  JADE2  HSPA5  ERBB3  MAP2K4  CDK13  RPS6KA2  PSEN1  AARS1  ADNP  FMR1  CDK16  CSK  ATE1  CDCA3  CLK4  NEK4  ACVR1  KMT2A  ADCK2  ACP1  GMPPA  CAMK2G  UEVLD  EXT2  ADPRHL1  NTAQ1  PHKG2  OXR1  DCAF13  KIRREL1  MED12  NRBP2  RELN  MIB2  RAB40C  DMD  HMBS  DUS4L-BCAP29  C8orf44-SGK3  PLAUR  HDAC7  UNC119  FAM98A  KRAS  BMAL1  HAX1  UVSSA  STAT2  PPP1CA  LARP7  VPS33B  HGS  KDM4D  PORCN  RGS14  SLC8A1  TNFRSF10B  PILRB  LMO7  CDC6  SBF1  SMUG1  NPEPPS"
1.22268849677861e-07,127,2779,1.74530063914735,"GO:0070727 Cellular macromolecule localization ","https://amigo.geneontology.org/amigo/term/GO:0070727"," NPEPPS  SAE1  RHBDF1  ZDHHC6  ZFYVE16  CC2D2A  NSF  SRP54  PORCN  TNPO2  RAB5C  UNC119  NUP98  VPS29  COPA  STIL  STX16  IFT22  SERGEF  SCARB2  VPS33A  STAC2  LYST  HSPD1  STK11IP  ANK2  GOLGA7  SEC16A  SPIDR  ARL13B  VPS33B  RAB40C  XPO1  DNM1L  TINF2  VRK1  CSK  NBN  CDK5RAP3  TMEM30A  CCDC88A  MACF1  MTCH1  NUMA1  WRAP53  PAK1  BRAF  WRN  ADAM9  LARP7  USP7  MTOR  BRD2  BAG6  VPS50  FUZ  TRAF3IP2  PSEN1  ERC1  EPS15  AURKA  HDAC6  RHBDD3  SEC23B  FERMT1  CDK16  ARMCX3  COG4  VPS35L  SPG11  IFT56  LZTS2  CASC3  RAB35  ERBIN  TMCO6  ATF2  TMEM9  MFSD1  ENY2  PLS1  CYREN  FRMD8  ATG4D  TBC1D5  DENND4C  TOM1L1  VPS53  UEVLD  CUL4B  BMPER  GAPVD1  AP1G1  CLSTN1  CLTB  MACIR  HGS  RELN  DMD  SNX2  CHCHD10  DUS4L-BCAP29  NSFL1C  KDM1A  CEP68  RIPOR1  HSPA5  ATXN3  DNM2  MACROH2A2  PPIL2  KIAA0586  NDFIP2  ACSL3  GNAI1  HACL1  GLUL  GSN  DCTN2  ILRUN  WWP2  DDX3X  PSMD9  BMAL1  AHI1  CAMK2G  HAX1"
1.64986851737748e-07,126,2767,1.73906758221901,"GO:0008104 Protein localization ","https://amigo.geneontology.org/amigo/term/GO:0008104"," NPEPPS  SAE1  RHBDF1  ZDHHC6  ZFYVE16  CC2D2A  NSF  SRP54  PORCN  TNPO2  RAB5C  UNC119  NUP98  VPS29  COPA  STIL  STX16  IFT22  SERGEF  SCARB2  VPS33A  STAC2  LYST  HSPD1  STK11IP  ANK2  GOLGA7  SEC16A  SPIDR  ARL13B  VPS33B  RAB40C  XPO1  DNM1L  TINF2  VRK1  CSK  NBN  CDK5RAP3  TMEM30A  CCDC88A  MACF1  MTCH1  NUMA1  WRAP53  PAK1  BRAF  WRN  ADAM9  LARP7  USP7  MTOR  BRD2  BAG6  VPS50  FUZ  TRAF3IP2  PSEN1  ERC1  EPS15  AURKA  HDAC6  RHBDD3  SEC23B  FERMT1  CDK16  ARMCX3  COG4  VPS35L  SPG11  IFT56  LZTS2  RAB35  ERBIN  TMCO6  ATF2  TMEM9  MFSD1  ENY2  PLS1  CYREN  FRMD8  ATG4D  TBC1D5  DENND4C  TOM1L1  VPS53  UEVLD  CUL4B  BMPER  GAPVD1  AP1G1  CLSTN1  CLTB  MACIR  HGS  RELN  DMD  SNX2  CHCHD10  DUS4L-BCAP29  NSFL1C  KDM1A  CEP68  RIPOR1  HSPA5  ATXN3  DNM2  MACROH2A2  PPIL2  KIAA0586  NDFIP2  ACSL3  GNAI1  HACL1  GLUL  GSN  DCTN2  ILRUN  WWP2  DDX3X  PSMD9  BMAL1  AHI1  CAMK2G  HAX1"
3.58803892210344e-08,142,3125,1.73537523809524,"GO:0036211 Protein modification proc. ","https://amigo.geneontology.org/amigo/term/GO:0036211"," POMT2  ATXN3  RNF126  ITCH  POMGNT1  DTX2  PPIL2  NDFIP2  DPH1  TRIM2  UBE3A  ALG5  PDZRN3  RBBP6  STAMBP  MINDY2  ANAPC13  SAE1  UHRF2  CUL4B  GALNT10  USP47  RNF34  GMPPB  MSL2  SHARPIN  USP7  PELI1  WWP2  DZIP3  CDK11A  ZDHHC6  AGA  TRAF3IP2  FBXW11  FBLN1  ERC1  AURKA  HDAC6  PRMT5  VRK1  NBN  CCNY  CDK5RAP3  KAT2A  TNS2  CCDC88A  STK25  ATF2  NFE2L2  PRMT1  ATG4D  PRMT7  GLUL  GPNMB  DAB2IP  MAP3K12  WARS1  IGF1R  ULK3  TOM1L1  USP21  GOLGA7  PAK1  NRG1  BRAF  HIPK1  PTPN13  NAA15  ADAM9  GPS1  DPAGT1  NAA16  SPHK1  CHEK2  BRCC3  P4HB  CDC42BPB  MTOR  BAG6  DDX3X  NFS1  KDM1A  JADE2  HSPA5  ERBB3  MAP2K4  CDK13  RPS6KA2  PSEN1  ADNP  FMR1  CDK16  CSK  ATE1  CDCA3  CLK4  NEK4  ACVR1  KMT2A  ADCK2  ACP1  GMPPA  CAMK2G  UEVLD  EXT2  ADPRHL1  NTAQ1  PHKG2  OXR1  DCAF13  KIRREL1  MED12  NRBP2  RELN  MIB2  RAB40C  DMD  HMBS  C8orf44-SGK3  PLAUR  HDAC7  UNC119  FAM98A  KRAS  BMAL1  HAX1  UVSSA  STAT2  PPP1CA  VPS33B  HGS  KDM4D  PORCN  RGS14  SLC8A1  TNFRSF10B  PILRB  LMO7  CDC6  SBF1  NPEPPS"
1.68093294680617e-07,143,3290,1.65995078882617,"GO:0033036 Macromolecule localization ","https://amigo.geneontology.org/amigo/term/GO:0033036"," NPEPPS  SAE1  RHBDF1  ABHD5  ZDHHC6  GRAMD1B  ZFYVE16  CC2D2A  NSF  SRP54  FMR1  PORCN  TNPO2  RAB5C  UNC119  NUP98  VPS29  TMEM30A  ENY2  COPA  STIL  STX16  IFT22  SERGEF  APOC1  THOC6  SCARB2  VPS33A  STAC2  LYST  HSPD1  STK11IP  ANK2  GOLGA7  SEC16A  SPIDR  ARL13B  VPS33B  RAB40C  APOM  XPO1  DNM1L  TINF2  VRK1  CSK  NBN  CDK5RAP3  CCDC88A  ACSL3  ABCC4  MACF1  MTCH1  NUMA1  WRAP53  PAK1  BRAF  WRN  ADAM9  C1QTNF1  PITPNA  LARP7  USP7  MTOR  BRD2  BAG6  VPS50  FUZ  TRAF3IP2  ACACB  PSEN1  ERC1  EPS15  AURKA  HDAC6  RHBDD3  SEC23B  FERMT1  CDK16  ARMCX3  COG4  VPS35L  SPG11  IFT56  LZTS2  CASC3  RAB35  ERBIN  TMCO6  HDLBP  ATF2  TMEM9  KDM5B  PLPPR4  MFSD1  PLS1  CYREN  FRMD8  OSBPL2  ATG4D  TBC1D5  DENND4C  LRPPRC  TOM1L1  VPS53  UEVLD  CUL4B  BMPER  GAPVD1  AP1G1  CLSTN1  CLTB  MACIR  OSBP2  HGS  RELN  DMD  SNX2  CHCHD10  DUS4L-BCAP29  NSFL1C  KDM1A  CEP68  RIPOR1  HSPA5  ATXN3  DNM2  MACROH2A2  PPIL2  KIAA0586  NDFIP2  GNAI1  HACL1  GLUL  GSN  DCTN2  ILRUN  WWP2  DDX3X  PSMD9  BMAL1  AHI1  CAMK2G  HAX1"
3.58803892210344e-08,159,3659,1.65954788583922,"GO:0010604 Pos. reg. of macromolecule metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0010604"," CDK13  MEF2C  FMR1  NDFIP2  CRTC1  KAT2A  KMT2A  MEIS2  CNOT6L  MEIS1  HSPD1  KMT2D  SAMD4B  MED12  YTHDF3  MRTFB  PSMC5  KDM1A  IL32  CASP8  ATXN3  RNF126  NSF  GLI2  FBLN1  TUT7  NFAT5  SALL1  NBN  GPI  CARD8  DNAJC2  CCNY  CDK5RAP3  GLI1  UBE3A  ACVR1  CCDC88A  STAT1  IL1R1  ATF2  NFE2L2  CD46  ENY2  FRMD8  PRMT1  CHTF18  BMAL1  LMO7  GPNMB  DAB2IP  CDK5RAP2  WARS1  TOM1L1  TOB1  WRAP53  NFIC  SAE1  PAK1  NRG1  BRAF  NAA15  WRN  ADAM9  STAT2  ATF7  C1QTNF1  LARP7  SPHK1  DEAF1  ZBTB18  ATP6AP2  CHEK2  NOC2L  TRRAP  PELI1  MTOR  DDX3X  TNFSF12  TAF9  TEAD3  POMT2  HSPA5  TRAF3IP2  ERBB3  MAP2K4  FBXW11  TOP2B  ITCH  PSEN1  EPS15  AURKA  HDAC6  RHBDD3  ADNP  FERMT1  ARMCX3  SMARCD2  NUP98  DROSHA  KDM5B  PMS2  CYREN  FOSB  ZNF384  ZNF227  KRAS  E2F5  PUM1  IGF1R  USP21  TACC1  GSN  PHKG2  RBPMS  CUL4B  PKNOX1  NCSTN  PPP1CA  MSL2  BRCC3  ARAP1  RELN  ZNF600  WWP2  CHCHD10  ZNF658  ANK2  PLAUR  WIZ  TGFBR3  WAC  NRF1  UNC119  DAP  NEK4  FAM98A  NOL11  MTCH1  MAP3K12  HAX1  SPIDR  ZEB2  RAD23A  HGS  KDM4D  BAG6  EIF3E  PSMD9  AHI1  NAA16  PPP1R3E  DNM2  TINF2  MED15  PRMT5  TNFRSF10B  PILRB  STAT5A"
3.58803892210344e-08,161,3743,1.64271083800873,"GO:0051641 Cellular localization ","https://amigo.geneontology.org/amigo/term/GO:0051641"," NPEPPS  SAE1  VPS50  RHBDF1  ZDHHC6  GRAMD1B  ZFYVE16  CC2D2A  FBXW11  NSF  DNM2  XPO1  EPS15  SRP54  IFT52  SEC23B  PORCN  VPS35L  SPG11  PLEKHJ1  TNPO2  IFT56  RAB5C  UNC119  NUP98  VPS29  RAB35  TFG  CCDC88A  ENY2  COPA  IFT81  STIL  STX16  RHOT1  IFT22  SERGEF  THOC6  CDK5RAP2  NUMA1  SCARB2  VPS33A  ANP32A  VPS53  STAC2  SH3GL1  LYST  HSPD1  STK11IP  ANK2  GOLGA7  SEC16A  UEVLD  SPIDR  AP1G1  ARL13B  MCTP1  ALS2CL  TRAPPC6B  VPS33B  HGS  RAB40C  SNX2  DNM1L  TINF2  VRK1  FMR1  CSK  NBN  ARHGAP21  CDK5RAP3  TMEM30A  MFSD1  MACF1  OSBPL2  MTCH1  WRAP53  PAK1  NRG1  BRAF  WRN  ADAM9  LARP7  USP7  MTOR  BRD2  BAG6  FUZ  TRAF3IP2  PSEN1  ERC1  AURKA  HDAC6  RHBDD3  FERMT1  CDK16  ARMCX3  NDFIP2  COG4  LZTS2  CASC3  ERBIN  TMCO6  ATF2  TMEM9  PLS1  CYREN  FRMD8  ATG4D  TBC1D5  DENND4C  TOM1L1  CUL4B  BMPER  GAPVD1  RGS14  CLSTN1  DCTN2  CLTB  MACIR  ATP6AP2  BTBD9  P4HB  RELN  LPAR1  DMD  RAD21L1  CHCHD10  DUS4L-BCAP29  NSFL1C  KDM1A  CEP68  RIPOR1  HSPA5  ATXN3  EVI5  RNF126  MACROH2A2  PPIL2  KIAA0586  STK25  ACSL3  GNAI1  HACL1  GLUL  ISCU  GSN  ILRUN  WWP2  DDX3X  MEF2C  PSMD9  BMAL1  AHI1  SLC8A1  P2RX5  CAMK2G  TRAPPC9  ABCC4  LRPPRC  HAX1"
3.58803892210344e-08,162,3775,1.63890255439924,"GO:0044085 Cellular component biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0044085"," LUC7L  FUZ  CC2D2A  WDR3  XPO1  NSFL1C  IFT52  NEFM  SF3A2  IFT56  PSMD9  NPHP3  EBNA1BP2  PLS1  XRCC3  MACF1  ATG4D  NOL11  ARHGEF9  TUBG1  SCO1  WDR74  AHI1  CDK5RAP2  ULK3  EFL1  HAX1  RPL7  GSN  CCSAP  ABLIM2  DCAF13  ATF7IP2  ARL13B  CLSTN1  ATPAF2  RTTN  EDC3  NOC2L  APOM  NFS1  TAF9  ACACB  DNM2  EPS15  DICER1  FMR1  CARD8  KAT2A  MDGA1  TMEM9  KMT2A  STIL  PRMT1  OSBPL2  ISCU  DAB2IP  DDX46  CPSF7  SAMD8  NRG1  DNAJB14  SPIDR  METTL17  PDIA3  BOLA2B  SPHK1  CHEK2  BRCC3  YTHDF3  TMEM120A  LPAR1  MTOR  DDX3X  HDAC7  TGFBR3  BAZ2A  PSEN1  AURKA  ICAM1  HDAC6  MACROH2A2  KIAA0586  ADNP  SPG11  EIF3E  CRTC1  LZTS2  DROSHA  TFG  RO60  FAM98A  IFT81  TMEM175  ATXN10  DHX30  PRMT7  DBNL  ANK2  SEC16A  BRAF  CUL4B  NDUFS2  HIPK1  PTPN13  CEP57  ZEB2  KRT8  VWA1  KIRREL1  THBS2  RELN  DMD  BAG6  RAD21L1  TGIF2-RAB5IF  ZNF658  FERMT1  DNM1L  TINF2  PRMT5  TAFAZZIN  NBN  NUP98  CCDC88A  STK25  ACSL3  ABCC4  GLUL  NUMA1  CNOT6L  WARS1  WRAP53  PAK1  WDR90  NDUFB8  ZRSR2  EFEMP2  HGS  ARAP1  BRD2  CHCHD10  HSPA5  MEF2C  SRP54  HSPD1  ADPRHL1  RBPMS  PDLIM5  MACIR  MED15  PILRB  IFT22  VPS33A  AP1G1  VPS33B  PPP2R1A  APOC1  SMARCAL1  WRN  NOLC1  KMT2D"
